	item_name	item_url	item_email	item_phone	item_address	item_site
122	Нк-Дент	https://www.dvhab.ru/nk-dent	nk-dent@mail.ru	['+7 (4212) 76-11-11 , тел./факс', '+7 (4212) 60-15-35']	"['район ""Краснофлотский"", ул. Стрельникова, 8А']"	
123	Эстет Плюс	https://www.dvhab.ru/estet-plyus	stomatologia2005@yandex.ru	['+7 (4212) 74-28-21']	"['район ""Краснофлотский"", ул. Профессора Даниловского М.П, 29']"	
124	Оникс	https://www.dvhab.ru/onix-khab	onyxstom@gmail.com	['+7 (4212) 45-65-45', '+7 924 308-65-45']	"['район ""Индустриальный"", ул. Шевчука, 42']"	
125	Дентал-Комплекс	https://www.dvhab.ru/dental-komplex-stomatologicheskaya-klinika	dent2@inbox.ru	['+7 (4212) 42-07-42 , администратор', '+7 (4212) 30-20-90 , директор', '+7 (4212) 30-20-73 , бухгалтерия']	"['район ""Центральный"", ул. Пушкина, 58']"	http://www.dental-kompleks.ru
126	ДоброДент	https://www.dvhab.ru/dobro-dent-stomatologiya	dobro-dent2008@mail.ru	['+7 924 305-21-23', '+7 (4212) 41-54-67']	"['район ""Центральный"", ул. Комсомольская, 73А']"	
127	Ай Кью Стом	https://www.dvhab.ru/aj-kyu-stom-uchebnyj-centr	iqstom-dv@mail.ru	['+7 (4212) 41-31-40', '+7 909 823-77-01', '+7 (4212) 66-77-01']	"['район ""Индустриальный"", ул. Шевчука, 42']"	http://iqstom27.ru
128	ЛазерДент	https://www.dvhab.ru/lazerdent	laserdent@mail.ru	['+7 (4212) 41-51-41', '+7 924 214-18-26', '+7 (4212) 66-77-01']	"['район ""Индустриальный"", ул. Шевчука, 42']"	http://www.лазердент.рф
129	Гармония	https://www.dvhab.ru/garmoniya-khv	garmonia-2010mi@yandex.ru	['+7 (4212) 66-77-22', '+7 (4212) 69-91-99']	"['район ""Железнодорожный"", ул. Владивостокская, 22']"	http://garmonia-dv.ru
130	Вита Дент	https://www.dvhab.ru/vita-dent-stomatologicheskij-centr	centr@vita-dent.com	['+7 (4212) 45-37-68', '+7 909 802-88-44']	"['район ""Центральный"", ул. Тургенева, 49']"	http://vita-dent.com
131	Эстетик	https://www.dvhab.ru/estetik	estetik.stom@mail.ru	['+7 (4212) 65-46-45', '+7 909 822-46-45']	"['район ""Краснофлотский"", ул. Тихоокеанская, 204']"	http://эстетик27.рф
132	Партнер	https://www.dvhab.ru/hab-partner		['+7 (4212) 29-39-59']	"['район ""Центральный"", ул. Гоголя, 17']"	
133	Пиранья	https://www.dvhab.ru/piranya	stom2775@mail.ru	['+7 (4212) 41-05-22', '+7 (4212) 41-25-34', '+7 (4212) 61-20-08 , гл. врач', '+7 962 501-20-08 , гл. врач']	"['район ""Индустриальный"", ул. Павловича, 13']"	http://piranya-stom.ru
134	Семейная стоматология	https://www.dvhab.ru/semeinaya-stomatologiya	familystom@bk.ru	['+7 (4212) 33-12-35']	"['район ""Индустриальный"", ул. Краснореченская, 116']"	http://www.avicennadv.ru
135	А-Пломб	https://www.dvhab.ru/a-plomb	a-plomb27.ru@mail.ru	['+7 (4212) 20-99-00', '+7 (4212) 51-52-30']	"['район ""Центральный"", ул. Мухина, 23']"	http://www.a-plomb27.ru
136	Центральная стоматологическая клиника	https://www.dvhab.ru/centralnaya-stomatologicheskaya-klinika	csk-stom@mail.ru	['+7 (4212) 26-06-42', '+7 (4212) 21-00-88', '+7 924 316-44-88']	"['район ""Центральный"", ул. Панькова, 11']"	http://csk-stom.ru
137	Наша клиника	https://www.dvhab.ru/nasha-klinika	info@ourclinic.ru	['+7 (4212) 47-43-80, аптека', '+7 (4212) 47-43-85, стоматологическое отделение', '+7 (4212) 45-44-22, справочная']	"['район ""Индустриальный"", ул. Шеронова, 8 кор. 1', 'район ""Индустриальный"", ул. Шеронова, 8 кор. 2']"	http://www.ourclinic.ru
138	Доктор Стом	https://www.dvhab.ru/doktor-stom-stomatologicheskaya-klinika	emaildrstom@drstom.ru	['+7 914 200-09-70', '+7 (4212) 38-15-24', '+7 914 153-50-50']	"['район ""Центральный"", ул. Ленинградская, 16']"	http://www.drstom.ru
139	ФеникС	https://www.dvhab.ru/stomkabinet-fenix		['+7 (4212) 77-01-45', '+7 914 544-01-45']	"['район ""Краснофлотский"", ул. Тихоокеанская, 139']"	
140	Стоматология-BET	https://www.dvhab.ru/stomatologiya-bet-hb	stoma-vet@mail.ru	['+7 (4212) 62-58-69', '+7 924 303-84-01']	"['район ""Железнодорожный"", ул. Ленинградская, 85']"	
141	Da Vinci	https://www.dvhab.ru/da-vinci-stom	zakaz.davinci@yandex.ru	['+7 (4212) 47-48-48', '+7 914 378-14-05', '+7 914 182-16-55']	"['район ""Центральный"", ул. Запарина, 2Г']"	http://davincident.ru
142	Кореан Дент	https://www.dvhab.ru/korean-dent-khv	koreandent@mail.ru	['+7 (4212) 68-77-88']	"['район ""Индустриальный"", ул. Волочаевская, 107']"	http://koreandent.ru
143	Пломбир	https://www.dvhab.ru/plombir		['+7 (4212) 60-33-07']	"['район ""Центральный"", ул. Гоголя, 39']"	http://plombir-stom.ru
144	Династия	https://www.dvhab.ru/stomatologicheskij-centr-khv		['+7 (4212) 61-65-17', '+7 (4212) 56-74-35']	"['район ""Кировский"", ул. Калинина, 150']"	
145	1 Здоровые зубы	https://www.dvhab.ru/1-zdorovye-zuby	evrostom.dv@gmail.com	['+7 (4212) 46-09-97', '+7 (4212) 93-37-55']	"['район ""Индустриальный"", ул. Олега Кошевого, 10']"	https://evrostom27.ru
146	BIOforDENT	https://www.dvhab.ru/biodent-stomatologicheskaya-klinika	info@biofordent.ru	['+7 (4212) 78-82-88']	"['район ""Индустриальный"", ул. Волочаевская, 85', 'район ""Индустриальный"", ул. Вахова А.А, 4']"	http://www.biofordent.ru
147	Стоматологическая поликлиника №18	https://www.dvhab.ru/stomatologicheskaya-poliklinika-18	stom@sp18.khv.ru	['+7 (4212) 52-14-96', '+7 (4212) 52-08-65', '+7 (4212) 52-12-48', '+7 (4212) 51-03-61', '+7 (4212) 54-49-84 , регистратура', '+7 (4212) 53-61-01']	"['район ""Индустриальный"", ул. Рокоссовского, 18А', 'район ""Индустриальный"", ул. Аксёнова, 22А']"	http://sp18.medkhv.ru
148	Аб	https://www.dvhab.ru/ab-stomatologicheskaya-klinika	stomab27@mail.ru	['+7 (4212) 63-23-48', '+7 (4212) 20-17-02']	"['район ""Индустриальный"", пер. Краснореченский, 18']"	
149	Уссури	https://www.dvhab.ru/ussuri-hab		['+7 (4212) 43-96-51', '+7 929 411-30-09']	"['район ""Центральный"", ул. Ленинградская, 36']"	
150	Дентал Хаус	https://www.dvhab.ru/dentalhousekhv	dentalhousekhv@mail.ru	['+7 951 027-33-33']	"['район ""Центральный"", ул. Гамарника, 43']"	
151	Регион	https://www.dvhab.ru/stomatologicheskaya-poliklinika-20	mail@stomregion.ru	['+7 (4212) 32-61-14', '+7 (4212) 75-28-22', '+7 (4212) 75-28-20 , секретарь', '+7 (4212) 57-69-63 , регистратура ортопедического отделения', '+7 (4212) 56-69-89 , регистратура']	"['район ""Центральный"", ул. Калинина, 76', 'район ""Центральный"", ул. Калинина, 77', 'район ""Кировский"", ул. Калинина, 122']"	http://www.stomregion.ru
152	Голливуд	https://www.dvhab.ru/gollivud-stomatologicheskaya-klinika	post@gstom.ru	['+7 (4212) 20-20-01', '+7 (4212) 65-59-65']	"['район ""Индустриальный"", ул. Герцена, 15А']"	http://www.gstom.ru
153	Денталика ДВ	https://www.dvhab.ru/dentalika-dv	dentalikadv@mail.ru	['+7 922 448-77-88', '+7 (4212) 93-89-93', '+7 963 566-84-72']	"['район ""Центральный"", ул. Войкова, 8']"	https://денталика27.рф
154	Вита Лайн	https://www.dvhab.ru/vita-line	vitalain@inbox.ru	['+7 (4212) 53-25-55', '+7 909 807-66-22']	"['район ""Индустриальный"", ул. Магаданская, 34А']"	
155	Бриллиантовый стиль +	https://www.dvhab.ru/brilliantovyj-stil-plus		['+7 (4212) 60-08-38', '+7 (4212) 60-07-37']	"['район ""Центральный"", ул. Запарина, 7']"	
156	Тарилюкс	https://www.dvhab.ru/tarilux	tarident@tarident.ru	['+7 (4212) 46-18-88']	"['район ""Центральный"", ул. Дзержинского, 65']"	http://www.tarilux.ru
157	Люмьер	https://www.dvhab.ru/lyumer	lumiere-dent@mail.ru	['+7 (4212) 78-50-70']	"['район ""Индустриальный"", ул. Краснореченская, 189']"	http://lumiere-dent.ru
158	Экас	https://www.dvhab.ru/ekas	ekasdv@yandex.ru	['+7 (4212) 69-42-62', '+7 (4212) 54-59-20']	"['район ""Индустриальный"", ул. Краснореченская, 53']"	
159	Блеск	https://www.dvhab.ru/blesk-27	blesk.stomatologiya@mail.ru	['+7 (4212) 60-48-60']	"['район ""Индустриальный"", ул. Шеронова, 8 кор. 3']"	
160	Стоматология на Прудах	https://www.dvhab.ru/stomatologiya-na-prudah	novastoma@yandex.ru	['+7 (4212) 21-62-04', '+7 909 822-06-80']	"['район ""Центральный"", ул. Постышева, 22']"	http://novastoma.info
161	Тари Лэнд	https://www.dvhab.ru/tari-lend	tariland@tariland.ru	['+7 (4212) 47-57-69', '+7 (4212) 46-75-55']	"['район ""Железнодорожный"", ул. Ким Ю Чена, 44М']"	http://www.tariland.ru
162	Мастерская долголетия	https://www.dvhab.ru/masterskaya-dolgoletiya		['+7 (4212) 63-33-62']	"['район ""Железнодорожный"", ул. Большая, 2А']"	https://medcentr27.ru
163	Астра-мед	https://www.dvhab.ru/astra-med	astramed27@gmail.com	['+7 (4212) 75-48-48', '+7 (4212) 24-62-62', '+7 (4212) 26-06-12']	"['район ""Центральный"", ул. Дзержинского, 52']"	http://www.astra27.ru
164	РЖД-Медицина	https://www.dvhab.ru/rzhd-medicina-khv-bol	mail@dkb-dv.ru	['+7 800 770-08-11, единая справочная', '+7 (4212) 41-82-82, call-center']	"['район ""Железнодорожный"", ул. Воронежская, 49', 'район ""Железнодорожный"", ул. Школьная, 32А']"	http://www.dkb-dv.ru
165	Апекс	https://www.dvhab.ru/apex-khv	medi-khv@yandex.ru	['+7 (4212) 28-59-00', '+7 914 543-59-00']	"['район ""Центральный"", ул. Шеронова, 103']"	
166	Городская поликлиника №15	https://www.dvhab.ru/gorodskaya-poliklinika-nomer-15	gp15adm@yandex.ru	['+7 (4212) 59-23-30 , call-центр', '+7 (4212) 59-23-31 , приемная гл. врача', '+7 (4212) 59-23-51 , регистратура терапевтического, гинекологического, стоматологического отделений', '+7 (4212) 53-05-36 , регистратура рентген-отделения', '+7 924 102-93-02 , круглосуточная горячая линия', '+7 (4212) 59-23-40 , касса']	"['район ""Индустриальный"", ул. Ульяновская, 156']"	http://поликлиника15.рф
167	Вивея	https://www.dvhab.ru/viveya-konsultativno-diagnosticheskij-centr		['+7 (4212) 45-41-11 , регистратура', '+7 (4212) 45-56-23 , старший администратор', '+7 (4212) 45-56-04 , автоматическая справка', '+7 (4212) 45-17-92 , дерматологическое отделение', '+7 (4212) 45-18-38 , стоматологическое отделение', '+7 (4212) 45-16-77 , офтальмологическое отделение', '+7 (4212) 45-26-10 , клинико-диагностическая лаборатория', '+7 (4212) 45-20-65 , профосмотры', '+7 (4212) 45-20-66']	"['район ""Центральный"", ул. Запарина, 83', 'район ""Центральный"", ул. Запарина, 88']"	http://viveya.medkhv.ru
