	item_name	item_url	item_email	item_phone	item_address	item_site
117	Престиж	https://www.vl.ru/prestizh-stom	mail@pr-clinic.ru	['+7 (423) 202-66-40', '+7 (423) 272-08-11']	"['район ""Центр"", пр-т Партизанский, 12А']"	http://pr-clinic.ru
118	Доверие	https://www.vl.ru/doverie-vl	vizitmed@mail.ru	['+7 984 198-66-08']	"['район ""Первая речка"", пр-т Острякова, 9А']"	https://стоматологиядоверие.рф
119	АА Групп-Дент	https://www.vl.ru/aa-grupp-dent		['+7 (423) 233-03-03', '+7 924 125-42-74', '+7 908 993-56-23']	"['район ""Столетие"", ул. Днепровская, 25']"	
120	Леонардо	https://www.vl.ru/leonardo-2	leonardo.ooo@mail.ru	['+7 (423) 275-55-44', '+7 914 705-55-44']	"['район ""Некрасовская"", пр-т Красного Знамени, 59']"	
121	Стоматология на Каплунова	https://www.vl.ru/stomatologiya-na-kaplunova	aliha40vl@mail.ru	['+7 902 555-61-95', '+7 902 482-79-00', '+7 (423) 251-17-00']	"['район ""Луговая"", ул. Каплунова, 6']"	
122	Жемчужина	https://www.vl.ru/zhemchuzhina-ooo	stomzhemchuzhina@yandex.ru	['+7 (423) 241-44-10', '+7 (423) 249-63-48', '+7 (423) 222-37-27', '+7 902 484-26-80']	"['район ""Эгершельд"", ул. Крыгина, 17А', 'район ""Некрасовская"", пр-т Красного Знамени, 78']"	
123	Веста	https://www.vl.ru/boris-ponomarevskij		['+7 (423) 244-61-08']	"['район ""Некрасовская"", пр-т Народный, 49']"	
124	Дантист ТВ	https://www.vl.ru/dantist-tv	dantist_tv@bk.ru	['+7 (423) 225-04-04']	"['район ""Борисенко"", ул. Борисенко, 25']"	http://dantisttv.business.site
125	Стоматологическая клиника ГБОУ ВПО ТГМУ	https://www.vl.ru/stomatologicheskaya-klinika-gbou-vpo-tgmu-vl	stomclinic.vgmu@gmail.com	['+7 984 192-34-36', '+7 984 154-69-02', '+7 (423) 245-19-60']	"['район ""Первая речка"", пр-т Острякова, 2Б']"	http://www.tgmu.ru
126	КлиП-Дент	https://www.vl.ru/kl-dep-stomatologicheskij-kabinet	klip-dend-vl@yandex.ru	['+7 (423) 226-81-38', '+7 950 280-61-63']	"['район ""Луговая"", ул. Светланская, 150']"	
127	Владодент	https://www.vl.ru/vladodent-ooo	vladodent@mail.ru	['+7 908 987-87-11']	"['район ""Чуркин"", ул. Зои Космодемьянской, 27А']"	
128	Эстетика	https://www.vl.ru/stomatologiya-estetika		['+7 914 699-07-85']	"['район ""Гайдамак"", ул. Светланская, 189']"	
129	Е-Стомцентр	https://www.vl.ru/e-stomcentr		['+7 908 451-89-51', '+7 (423) 280-17-17']	"['район ""Центр"", ул. Фонтанная, 17']"	
130	ПК Стоматолог	https://www.vl.ru/stomatolog-proizvodstvennyj-kooperativprotezirov	pkstomatolog@gmail.com	['+7 (423) 231-78-01', '+7 994 019-78-90']	"['район ""Вторая речка"", пр-т 100-летия Владивостока, 106А']"	
131	Астерий	https://www.vl.ru/zubnoj-kabinet-na-habarovskoj-ooo	asteriy1@yandex.ru	['+7 (423) 259-34-14', '+7 (423) 242-57-06']	"['район ""Первая речка"", ул. Хабаровская, 24']"	
132	Ориент Дентал Плюс	https://www.vl.ru/orient-dental-plyus-stomatologicheskaya-klinika	orient_dental@mail.ru	['+7 (423) 207-76-41', '+7 (423) 263-93-36 , тел./факс']	"['район ""Луговая"", ул. Шепеткова, 8А']"	http://orientdental-plus.ru
133	Денио	https://www.vl.ru/denio		['+7 (423) 292-57-30']	"['район ""Борисенко"", ул. Борисенко, 40']"	
134	Династия	https://www.vl.ru/dinastiya-vlk	dinastiya2809962@gmail.com	['+7 (423) 280-99-62', '+7 967 958-99-62']	"['район ""Вторая речка"", ул. Иртышская, 5']"	http://dinastiya25.ru
135	Медицинское объединение ДВО РАН	https://www.vl.ru/medicinskoe-obedinenie-dvoran	priemmodvoran@mail.ru	['+7 (423) 231-11-84 , контактный центр', '+7 (423) 231-11-66 , приемное отделение стационара', '+7 (423) 231-33-25 , регистратура диспансерного отделения', '+7 (423) 231-33-32 , планово-экономический отдел']	"['район ""Вторая речка"", ул. Кирова, 95']"	http://www.modvo.ru
136	Здоровье 32	https://www.vl.ru/zdorove-32	zdravkol2011@gmail.com	['+7 (423) 299-86-84', '+7 (423) 294-30-23']	"['район ""Вторая речка"", ул. Русская, 56', 'район ""Столетие"", пр-т 100-летия Владивостока, 60']"	
137	ДК Дент	https://www.vl.ru/dk-dent	dcrnwcommon@gmail.сom	['+7 (423) 256-18-18', '+7 902 556-18-18']	"['район ""Столетие"", ул. Ильичева, 27']"	https://dk-dent.ru
138	Эхсон	https://www.vl.ru/ehson		['+7 (423) 294-16-86']	"['район ""Некрасовская"", пр-т Народный, 28 стр. 1']"	
139	AVA-Dent	https://www.vl.ru/ava-dent		['+7 (423) 274-26-53', '+7 904 627-50-90']	"['район ""БАМ"", ул. Тухачевского, 24']"	
140	Вирджиния	https://www.vl.ru/virdzhiniya-stomatologiya	stom.virdzhiniya@yandex.ru	['+7 902 555-39-16', '+7 (423) 255-39-16']	"['район ""Столетие"", ул. Постышева, 13']"	
141	7я	https://www.vl.ru/7ya-artyom	7yamed@mail.ru	['+7 (423-37) 3-09-09', '+7 (423) 205-60-55', '+7 924 077-47-27']	['Артём, ул. Пушкина, 6А']	http://7ya-medcentr.ru
142	Оскал	https://www.vl.ru/oskal	osskal@mail.ru	['+7 (423) 222-34-90']	"['район ""Вторая речка"", ул. Русская, 65 кор. 10']"	
143	Апекс	https://www.vl.ru/apex2011	apex-vl2011@yandex.ru	['+7 (423) 261-00-01', '+7 (423) 201-61-02']	"['район ""Эгершельд"", ул. Верхнепортовая, 42']"	http://www.apeksvl.ru
144	Маруга	https://www.vl.ru/maruga-ooo-lechenie-protezirovanie1	maruga09.25@mail.ru	['+7 (423) 237-07-42']	"['район ""Столетие"", пер. Камский, 5']"	
145	Добрый доктор	https://www.vl.ru/dobryj-doktorart	woshirin@mail.ru	['+7 (423-37) 7-43-46', '+7 902 077-43-46', '+7 (423) 266-50-05']	['Артём, ул. Кирова, 34', 'Приморский край, с. Прохладное, ул. Центральная, 47А']	
146	Доктор Дента	https://www.vl.ru/doktor-denta	doctor_denta@mail.ru	['+7 (423) 200-06-76']	"['район ""Вторая речка"", ул. Кирова, 60А']"	
147	Блич	https://www.vl.ru/blich		['+7 (423) 274-37-82', '+7 914 704-37-82', '+7 924 130-13-95']	"['район ""Вторая речка"", ул. Русская, 57Н']"	
148	Жемчуг	https://www.vl.ru/zemchug		['+7 (423) 236-93-54']	"['район ""Столетие"", пр-т 100-летия Владивостока, 31']"	
149	А.С.Б.	https://www.vl.ru/a.s.b	klinikaasb@mail.ru	['+7 (423) 243-95-03', '+7 902 480-88-89']	"['район ""Третья рабочая"", пр-т Красного Знамени, 114']"	
150	Др. Зубнофф	https://www.vl.ru/dr.-zubnoff	dsa-doc@yandex.ru	['+7 902 527-71-40', '+7 951 001-00-30', '+7 951 021-02-30']	['Артём, ул. Пархоменко, 26']	http://дрзубнофф.рф
151	Центр цифровой стоматологии доктора Шадрина	https://www.vl.ru/centr-cifrovoj-stomatologii-doktora-shadrina	ooo.shadrin23@mail.ru	['+7 (423) 239-22-99', '+7 991 496-60-99']	"['район ""Центр"", ул. Батарейная, 2']"	http://doctor-shadrin.ru
152	Примодент	https://www.vl.ru/primodent-ooo	primodent@mail.ru	['+7 (423) 292-20-55', '+7 (423) 240-03-75', '+7 (423) 250-61-16']	"['район ""Центр"", ул. Алеутская, 51']"	
153	Магия улыбки	https://www.vl.ru/magiya-ulybki		['+7 (423) 290-71-72', '+7 (423) 248-05-64 , директор', '+7 902 505-71-72']	"['район ""Тихая"", ул. Сахалинская, 19']"	
154	Анна и Э	https://www.vl.ru/anna-i-e-ooo	annaestom@mail.ru	['+7 (423) 263-98-50', '+7 (423) 200-03-03']	"['район ""Борисенко"", ул. Сафонова, 37']"	http://www.annaestom.ru
155	Avrora DentHouse	https://www.vl.ru/avrora-denthouse	sanadent25@yandex.ru	['+7 (423) 246-62-38', '+7 (423) 257-10-01', '+7 902 557-10-01']	"['район ""Центр"", ул. Авроровская, 17']"	http://auroradh.ru
156	Аквамарин Плюс	https://www.vl.ru/akvamarin-ooo	aquamarin77@inbox.ru	['+7 (423) 231-89-84', '+7 (423) 237-60-66']	"['район ""Вторая речка"", ул. Кирова, 23']"	http://www.akvamarinstom.ru
157	Вазген Плюс	https://www.vl.ru/vazgen-ooo	vazgen.ooo@mail.ru	['+7 (423) 263-25-65', '+7 924 008-47-47']	"['район ""Борисенко"", ул. 40 лет ВЛКСМ, 14']"	
158	Оазис	https://www.vl.ru/oazis-stomatologiya	stom-oasis@rambler.ru	['+7 (423-37) 9-87-85']	['Артём, ул. Площадь Ленина, 5']	
159	Мастер-Дент	https://www.vl.ru/master-dent-vlk		['+7 (423-34) 3-50-11', '+7 902 054-58-00']	['Приморский край, пос. Новый, ул. Первомайская, 1']	
160	Вира Дент	https://www.vl.ru/vira-dent	alena_kadyrmanova@mail.ru	['+7 (423) 245-06-28']	"['район ""Первая речка"", ул. Садовая, 12']"	
161	Стоматолог	https://www.vl.ru/stomatolog-art		['+7 (423-37) 3-70-27']	['Артём, ул. Пархоменко, 24']	
162	Дентал-Бэст	https://www.vl.ru/dental-best		['+7 (423) 268-65-65', '+7 (423) 255-91-38', '+7 902 555-91-38']	"['район ""Вторая речка"", ул. Русская, 94']"	
163	Пионер	https://www.vl.ru/pionervl	vaiomaya@gmail.com	['+7 (423) 200-31-16', '+7 924 730-31-16']	"['район ""Эгершельд"", ул. Верхнепортовая, 32']"	
164	Стоматологическая клиника доктора Безручко	https://www.vl.ru/stom-klinika-doktora-bezruchko		['+7 (423) 242-77-44']	"['район ""Первая речка"", ул. Амурская, 26']"	
165	Бор	https://www.vl.ru/bor-ooo-stomatologiya		['+7 (423) 233-37-05', '+7 914 791-04-78']	"['район ""Седанка"", ул. Маковского, 41']"	
166	Перламутр	https://www.vl.ru/perlamutr-stom		['+7 924 127-27-78 , врач', '+7 908 455-81-25']	"['район ""Центр"", ул. Светланская, 167']"	https://perlamutr-vl.ru
167	Мехак	https://www.vl.ru/mehak-ooo		['+7 908 991-96-18']	"['район ""Трудовая"", ул. 50 лет ВЛКСМ, 30Б']"	
168	ДарАнт	https://www.vl.ru/darant	darant-vl@yandex.ru	['+7 (423) 231-27-26']	"['район ""Вторая речка"", ул. Кирова, 27']"	
169	Вайт Тис	https://www.vl.ru/whiteteeth		['+7 908 962-96-92']	"['район ""Чуркин"", ул. Олега Кошевого, 25']"	
170	Сервис Дентал	https://www.vl.ru/avantazh-ooostomatologicheskij-kabinet	borzienko69@mail.ru	['+7 (423) 227-73-29', '+7 (423) 277-60-93', '+7 914 707-60-93', '+7 (423) 263-97-73', '+7 (423) 280-94-73']	"['район ""Чуркин"", ул. Калинина, 49', 'район ""Борисенко"", ул. Марины Расковой, 2А']"	
171	Тари	https://www.vl.ru/tari	tari-vl@yandex.ru	['+7 (423) 274-57-42 , администратор', '+7 (423) 224-42-34']	"['район ""Третья рабочая"", пр-т Красного Знамени, 120А']"	
172	Доктор Александров	https://www.vl.ru/doktor-alexandrov	talsid1@mail.ru	['+7 (423) 231-14-32', '+7 (423) 259-11-69', '+7 908 449-11-69']	"['район ""Вторая речка"", пр-т 100-летия Владивостока, 127']"	
173	Стоматологический кабинет	https://www.vl.ru/stomatologicheskij-kabinet-gym		['+7 902 488-89-83']	"['район ""Центр"", ул. Светланская, 33']"	
174	Кристалл-дент	https://www.vl.ru/ooo-kristall-dent		['+7 (423) 226-10-91']	"['район ""Некрасовская"", пр-т Красного Знамени, 82']"	
175	Кристайл	https://www.vl.ru/kristajl-artem		['+7 914 791-23-73']	['Артём, ул. Кирова, 39А']	
176	Стоматологическая клиника Доктора Неделяева	https://www.vl.ru/stomatologicheskaya-klinika-doktora-nedelyaeva	artem.nedelyaev@mail.ru	['+7 (423) 276-12-34', '+7 914 706-12-34']	"['район ""Первая речка"", пр-т Острякова, 5Г']"	
177	Стомэкс	https://www.vl.ru/stomex		['+7 (423) 220-44-12']	"['район ""Снеговая"", ул. Марченко, 6']"	
178	Зубная стать	https://www.vl.ru/zubnaya-stat	ronastom@mail.ru	['+7 950 291-31-39', '+7 (423) 266-00-12']	"['район ""Снеговая падь"", ул. Анны Щетининой, 3']"	
179	Collage	https://www.vl.ru/collage	collage999@mail.ru	['+7 (423) 296-46-99', '+7 908 992-10-67']	"['район ""64, 71 микрорайоны"", ул. Ватутина, 4А']"	http://www.collage-center.ru
180	Стом Лайн-М	https://www.vl.ru/stom-lajn-m-ooo	stom-line@yandex.ru	['+7 (423) 279-10-60', '+7 (423) 279-10-61 , тел./факс']	"['район ""Эгершельд"", ул. Стрельникова, 7']"	http://www.stom-line.com
181	Эстетикс	https://www.vl.ru/estetix	ka-sya@mail.ru	['+7 924 264-02-80', '+7 924 251-09-23']	['Артём, ул. Тверская (с. Кролевцы), 3']	https://estetics-dnt.ru
182	Стоматология на Заречной	https://www.vl.ru/stomatologiya-na-zarechnoj		['+7 991 496-84-84']	['Артём, ул. Заречная, 6']	
183	D’esten	https://www.vl.ru/desten-vl	desten.pro@mail.ru	['+7 (423) 239-23-23']	"['район ""Центр"", ул. Прапорщика Комарова, 58']"	https://desten.pro
184	Эль-Денто	https://www.vl.ru/el-dento		['+7 (423) 258-08-75', '+7 908 448-08-75', '+7 914 793-77-78']	"['район ""Некрасовская"", пр-т Партизанский, 58В']"	
185	Доктор Л	https://www.vl.ru/stomatologiya-ip-shvedenko-l.p1		['+7 (423) 233-08-28']	"['район ""Седанка"", ул. Полетаева, 6Б']"	
186	32	https://www.vl.ru/32-stomatologicheskij-kabinet	ooo.32@yandex.ru	['+7 (423) 245-75-30', '+7 (423) 297-51-69 , администратор']	"['район ""Некрасовская"", пр-т Народный, 55']"	http://32vl.ru
187	Семейная Стоматология	https://www.vl.ru/semejnaya-stomatologiya-ooo	semeynaya_stom@mail.ru	['+7 (423) 200-77-17']	"['район ""Снеговая падь"", ул. Адмирала Горшкова, 2']"	
188	Конкордия	https://www.vl.ru/konkordia		['+7 964 440-32-22']	"['район ""Эгершельд"", ул. Станюковича, 49']"	
189	Стом-Эффект	https://www.vl.ru/stom-effekt		['+7 (423) 245-58-82', '+7 (423) 269-25-23']	"['район ""Первая речка"", пр-т Океанский, 83']"	
190	Centera	https://www.vl.ru/rekonstruktivnaya-stomatologiya	info@centera.pro	['+7 (423) 280-44-04']	"['район ""Первая речка"", пр-т Острякова, 8']"	http://centera.pro
191	Аврора-Дент	https://www.vl.ru/avrora-dent	avroradent@yandex.ru	['+7 (423) 226-99-06', '+7 968 165-34-36']	"['район ""Толстого (Буссе)"", ул. Толстого, 48']"	
192	Vera-Dent	https://www.vl.ru/vera-dent-stomatologicheskij-centr	idealdent@mail.ru	[]	"['район ""Столетие"", пр-т 100-летия Владивостока, 74']"	
193	Ивея	https://www.vl.ru/iveya	stomivea@mail.ru	['+7 (423) 238-15-34', '+7 914 077-14-26', '+7 902 524-66-12']	"['район ""Трудовое"", ул. Лермонтова, 60']"	
194	Дент-Арт	https://www.vl.ru/dent-art-stomatologiya	info@dent-art-vl.com	['+7 (423) 246-91-54', '+7 (423) 244-02-42', '+7 908 972-24-49']	"['район ""Центр"", ул. Московская, 1']"	http://www.dent-art-vl.com
195	Dental Crown	https://www.vl.ru/stomatologicheskaya-klinika-dental-crown		['+7 902 075-00-03']	"['район ""Фадеева"", ул. Фадеева, 6']"	
196	Гармония	https://www.vl.ru/garmoniya.-stomatologicheskaya-klinika	sk.garmonia@mail.ru	['+7 (423) 278-24-23']	"['район ""Столетие"", ул. Печорская, 8А']"	
197	Ивалга	https://www.vl.ru/ivalga-ooo	info@ivalga.ru	['+7 (423) 228-88-17', '+7 (423) 221-21-44', '+7 924 338-83-63']	"['район ""Тихая"", ул. Космонавтов, 5']"	http://www.ivalga.ru
198	Premiera	https://www.vl.ru/primiera	info.premiera@yandex.ru	['+7 (423) 260-54-54', '+7 (423) 200-86-86']	"['район ""Центр"", ул. Светланская, 80В']"	http://premiera.clinic
199	СВ-лик	https://www.vl.ru/sv-lik	sv_lik_vl@mail.ru	['+7 (423) 225-96-86', '+7 914 714-34-82', '+7 914 797-07-17']	"['район ""Тихая"", ул. Сахалинская, 48']"	
200	Ваш Доктор	https://www.vl.ru/stomatologicheskaya-klinika-vash-doktor	vasdoktors@gmail.com	['+7 (423) 272-83-29', '+7 924 731-77-44']	"['район ""Баляева"", ул. Луговая, 50']"	
201	Стом-ВД	https://www.vl.ru/stom-vdvl	stomvd@yandex.ru	['+7 (423) 231-11-31', '+7 914 976-51-44']	"['район ""Вторая речка"", ул. Давыдова, 35']"	
202	Владивостокская больница №3	https://www.vl.ru/detskaya-poliklinika-nomer-12-2	muzhospital@mail.ru	['+7 (423) 238-79-03 , регистратура', '+7 (423) 238-80-19 , заведующая детской поликлиникой', '+7 (423) 238-92-92 , зав. педиатрическим отделением', '+7 (423) 238-06-26 , регистратура', '+7 (423) 238-70-22 , зам. главного врача по обслуживанию детского населения']	"['район ""Океанская"", ул. Первая, 6', 'район ""Трудовое"", ул. Лермонтова, 85/2']"	http://www.vlgb3.ru
203	Дэм	https://www.vl.ru/dem-optik-stomatologicheskaya-klinika	dem-klinika@yandex.ru	['+7 (423) 295-03-30']	"['район ""Вторая речка"", ул. Русская, 27В']"	
204	Анна	https://www.vl.ru/anna-stomatologicheskaya-klinika	anna-dental@yandex.ru	['+7 (423) 245-06-96', '+7 (423) 268-38-87', '+7 902 482-38-87']	"['район ""Первая речка"", пр-т Острякова, 7']"	
205	Доктор Кан	https://www.vl.ru/stomatologiya-doktor-kan	doctorkan_vl@mail.ru	['+7 (423) 239-33-03', '+7 984 145-14-18']	"['район ""Вторая речка"", ул. Енисейская, 23Д кор. 2']"	http://doctorkan.ru
206	Союз	https://www.vl.ru/stomatologiya-soyuz	souz-dent@mail.ru	['+7 (423) 277-24-23', '+7 914 707-24-23', '+7 (423) 260-62-86']	"['район ""Баляева"", ул. Луговая, 76']"	http://souz-dent.ru
207	Стоматологическая клиника доктора Фролова	https://www.vl.ru/serih	info@drfrolov.pro	['+7 914 791-15-15']	"['район ""Чуркин"", ул. Запорожская, 77']"	http://drfrolov.pro
208	Аист	https://www.vl.ru/aist-ooo-ads-so-stranami-atr-1	aistdental@mail.ru	['+7 (423) 242-42-96', '+7 (423) 245-13-75', '+7 (423) 245-08-16', '+7 991 496-73-31']	"['район ""Первая речка"", пр-т Океанский, 123В']"	
209	Карат-В	https://www.vl.ru/karat-v-ooo	lusine.7878@mail.ru	['+7 (423) 232-98-98']	"['район ""Вторая речка"", ул. Русская, 77']"	
210	Адмира	https://www.vl.ru/admira-stomatologiya	admira-luxs@mail.ru	['+7 (423) 237-42-00', '+7 914 686-75-10']	"['район ""Вторая речка"", пр-т 100-летия Владивостока, 103']"	
211	Евро-Стом	https://www.vl.ru/evro-stom-ooo-stomatologiya	evrostom48@mail.ru	['+7 (423) 220-71-07', '+7 908 994-53-52']	"['район ""Центр"", ул. Пушкинская, 48']"	http://www.evro-stom.ru
212	Сапфира	https://www.vl.ru/sapfiraart	stomsapfira@mail.ru	['+7 950 282-89-92']	['Артём, ул. Фрунзе, 50']	
213	Альбус	https://www.vl.ru/albus	Albus_dent@mail.ru	['+7 (423) 265-67-65', '+7 964 445-67-65']	"['район ""Борисенко"", ул. Строительная 3-я, 9']"	
214	A-dent	https://www.vl.ru/a-dent	a-dentww@mail.ru	['+7 (423) 243-90-80', '+7 (423) 250-33-66']	"['район ""Первая речка"", ул. Амурская, 57']"	
215	ДенТас	https://www.vl.ru/dentas-ooo	dentas_vlad@mail.ru	['+7 (423) 272-12-10', '+7 (423) 260-97-15']	"['район ""Третья рабочая"", пр-т Народный, 11В']"	http://dentas.su
216	Оникс	https://www.vl.ru/oniks-ooo		['+7 (423) 228-87-82']	"['район ""Тихая"", ул. Космонавтов, 27']"	
217	MagicDent	https://www.vl.ru/magicdent	akver2021@mail.ru	['+7 984 198-11-30', '+7 (423) 208-11-30', '+7 (423) 253-61-01']	"['район ""Чуркин"", ул. Херсонская, 4']"	
218	Ввк	https://www.vl.ru/vvk-stomatologiya	vvkstom@mail.ru	['+7 (423-37) 6-12-05']	['Артём, ул. Кооперативная, 4']	
219	Медик-89	https://www.vl.ru/medik-89-ooo	medik-89@mail.ru	['+7 (423) 253-01-75', '+7 (423) 250-25-07']	"['район ""Столетие"", ул. Ильичева, 4']"	http://medik-89.ru
220	Адонис	https://www.vl.ru/adonis-stomatologicheskaya-klinika	talshik@mail.ru	['+7 (423) 233-28-01', '+7 (423) 244-71-41', '+7 (423) 292-10-58']	"['район ""Столетие"", ул. Фирсова, 6', 'район ""64, 71 микрорайоны"", ул. Ладыгина, 5']"	http://www.stom-adonis.ru
221	Вериншен	https://www.vl.ru/verinshen-ooo		['+7 (423) 233-70-70', '+7 984 197-91-17']	"['район ""Столетие"", ул. Гамарника, 21']"	
222	Апекс-Дент	https://www.vl.ru/apex-dent		['+7 (423) 297-24-72', '+7 (423) 236-07-40']	"['район ""Столетие"", ул. Уральская, 6']"	
223	Dental	https://www.vl.ru/dental-stomatologiya-kompanii-rik	stomdental@list.ru	['+7 (423-37) 4-90-97', '+7 924 003-44-33']	['Артём, ул. Фрунзе, 60']	
224	Улыбка	https://www.vl.ru/ooo-ulybka		['+7 (423) 254-73-75', '+7 (423) 248-84-29']	"['район ""Трудовое"", ул. Порт-Артурская, 25']"	
225	Денталлюкс Сервис	https://www.vl.ru/dentallyuks-servis-vse-vidy-stomatologicheskih-u	dls96@mail.ru	['+7 (423) 220-49-89', '+7 (423) 220-49-95', '+7 984 145-63-93', '+7 924 001-93-96']	"['район ""Гайдамак"", ул. Светланская, 179']"	http://www.dentallux-vl.ru
226	Профессорская клиника Едранова	https://www.vl.ru/doktor-edranov	manager@edranov.ru	['+7 908 446-93-33', '+7 (423) 296-93-33']	"['район ""Первая речка"", пр-т Океанский, 48А']"	http://edranov.ru
227	Dr.Smile	https://www.vl.ru/dr-smile	dr.smile21@mail.ru	['+7 (423) 221-21-01']	"['район ""Трудовая"", ул. 50 лет ВЛКСМ, 21']"	
228	Колибри	https://www.vl.ru/kolibri-stm	stom-kolibri@mail.ru	['+7 914 731-50-72', '+7 (423) 209-24-20', '+7 984 199-24-20']	"['район ""Трудовая"", ул. 50 лет ВЛКСМ, 24/1']"	
229	Oralprofi	https://www.vl.ru/oralprofi	oralprofi@mail.ru	['+7 967 958-78-57', '+7 967 958-74-32']	"['район ""Центр"", ул. Некрасовская, 36А']"	http://oralprofi.ru
230	Тридент	https://www.vl.ru/trident-ooo1	dent-design@yandex.ru	['+7 (423) 228-28-13', '+7 951 029-40-14']	"['район ""Чуркин"", ул. Калинина, 283А']"	
231	ГалаДентис	https://www.vl.ru/galadentis	galadentis@mail.ru	['+7 (423) 236-69-92', '+7 (423) 255-89-49']	"['район ""Столетие"", ул. Нахимова, 1']"	
232	Proзубы	https://www.vl.ru/prozuby	prozubivl@gmail.com	['+7 924 007-91-76']	"['район ""Центр"", ул. Захарова, 5']"	
233	Элиз	https://www.vl.ru/stomatologiya-eliz		['+7 (423-37) 3-52-65']	['Артём, ул. Фрунзе, 14']	
234	П.Е.Р.С.И.К.	https://www.vl.ru/p.e.r.s.i.k	p.e.r.s.i.k.2011@mail.ru	['+7 (423) 236-73-28', '+7 950 296-00-85']	"['район ""Столетие"", ул. Овчинникова, 6']"	
235	Дентал-Экспресс ДВ	https://www.vl.ru/dental-express-dv	info@dental-express.ru	['+7 (423) 244-73-78', '+7 (423) 244-07-03', '+7 (423) 244-73-87', '+7 (423) 243-93-91']	"['район ""Баляева"", ул. Котельникова, 8А']"	http://dental-express.ru
236	Краевой центр восстановительной медицины и реабилитации	https://www.vl.ru/altus	cvlds@rambler.ru	['+7 (423) 231-47-12 , регистратура', '+7 964 441-88-82 , зав. центром', '+7 (423) 231-02-01 , зав. по социальной реабилитации', '+7 (423) 232-41-58 , зав. по лечебной части']	"['район ""Вторая речка"", ул. Кирова, 66']"	http://www.kkcsvmp.ru
237	РЖД-Медицина	https://www.vl.ru/rzhd-medicina-vl	nuzvs@mail.ru	['+7 (423) 245-09-22, call-центр', '+7 800 234-34-34, единая справочная', '+7 (423) 245-16-10 , регистратура', '+7 (423) 224-55-58 , стоматология', '+7 (423) 224-57-76 , касса', '+7 924 000-56-84 , каб. компьютерной томографии', '+7 (423) 224-59-28 , регистратура', '+7 (423) 251-06-21 , администратор', '+7 (423) 252-02-79 , экономический отдел', '+7 (423) 224-82-27 , приемная гл. врача', '+7 (423) 224-83-32 , приемное отделение', '+7 (423) 224-77-90 , кабинет УЗИ', '+7 (423) 224-77-86 , отделение анестезии и реанимации', '+7 (423) 224-86-56 , рентгенотделение', '+7 (423) 224-77-69 , физиостацинар', '+7 (423) 224-82-44 , отделение функциональной диагностики', '+7 (423) 224-84-44 , гинекологическое отделение', '+7 (423) 224-84-16 , неврологическое отделение', '+7 (423) 224-82-63 , эндоскопическое отделение', '+7 (423) 224-82-93 , хирургическое отделение', '+7 (423) 224-84-82 , кардиологическое отделение', '+7 (423) 224-77-66 , урологическое отделение', '+7 (423) 200-29-32 , отделение МРТ', '+7 (423) 224-83-28 , отделение МРТ']	"['район ""Некрасовская"", ул. Круговая 2-я, 10А', 'район ""Эгершельд"", ул. Верхнепортовая, 25']"	http://www.zdclinic.ru
238	Владивостокская поликлиника №1	https://www.vl.ru/centr-vakcinoprofilaktiki-gorodskoj-muz	vld_pol1@mail.ru	['+7 (423) 222-11-18, колл-центр', '+7 (423) 245-15-36, колл-центр', '+7 (423) 240-63-86, колл-центр', '+7 (423) 240-79-11, колл-центр', '+7 (423) 240-79-27, колл-центр', '+7 (423) 240-79-34, доб. 133 горячая линия по COVID-19', '+7 (423) 240-79-34, доб. 201, 202, 217 горячая линия по телефону АИЦ', '+7 (423) 245-14-59 , доб. 501 заведующий терапевтическим отделением №6', '+7 (423) 245-14-59 , доб. 501 заведующий терапевтическим отделением №6', '+7 (423) 245-14-59 , доб. 516, 518 заведующий стоматологии', '+7 (423) 226-01-79 , доб. 301 заведующий терапевтическим отделением №5', '+7 (423) 222-81-72 , доб. 333 заведующий отделением проф. осмотров №2', '+7 (423) 226-40-32 , доб. 207 заведующий терапевтическим отделением №4', '+7 (423) 226-40-32 , доб. 214 заведующий отделением первичной специализированной медицинской помощи №2', '+7 (423) 226-40-32 , доб. 150, 202 Заведующий ЦАОП', '+7 (423) 222-11-07 , доб. 800 заведующий отделением восстановительного лечения №2']	"['район ""Баляева"", ул. Котельникова, 10', 'район ""Некрасовская"", пр-т Красного Знамени, 47', 'район ""Некрасовская"", ул. Некрасовская, 46', 'район ""Некрасовская"", ул. Некрасовская, 52', 'район ""о. Русский"", ул. Экипажная (о. Русский), 24', 'район ""Первая речка"", ул. Комсомольская, 7', 'район ""По-ов. Песчанный"", ул. Строительная (с. Береговое), 3', 'район ""Центр"", пер. Почтовый, 9', 'район ""Центр"", пр-т Океанский, 35', 'район ""Центр"", ул. Пушкинская, 55', '', '']"	http://vlcpol1.ru
239	Нэомед-Плюс	https://www.vl.ru/art-neomed-plyus	neomed1991@mail.ru	['+7 (423-37) 4-78-04', '+7 924 131-72-72']	['Артём, ул. Кирова, 47']	http://www.neomed-plus.ru
240	Денс-ДВ	https://www.vl.ru/dens-dv-ooo	densdv42@gmail.com	['+7 (423) 222-99-49']	"['район ""Центр"", ул. Светланская, 111А']"	
241	Maximum	https://www.vl.ru/maximumdv	maximumdent@mail.ru	['+7 984 198-77-71', '+7 914 975-88-56']	"['район ""Чуркин"", ул. Березовая, 5']"	http://www.maximumshop.ru
